"cut_time","1st_shot_frame"
1.48,37
7.60,190
31.24,781
51.88,1297
56.04,1401
63.60,1590
101.56,2539
105.28,2632
107.56,2689
110.72,2768
115.12,2878
123.32,3083
125.88,3147
133.32,3333
140.84,3521
143.96,3599
150.08,3752
154.88,3872
156.96,3924
165.20,4130
169.60,4240
171.64,4291
174.00,4350
188.96,4724
203.20,5080
211.96,5299
219.08,5477
221.96,5549
241.64,6041
248.32,6208
259.96,6499
261.44,6536
265.84,6646
274.24,6856
282.52,7063
285.84,7146
298.56,7464
301.40,7535
305.36,7634
310.40,7760
313.84,7846
316.92,7923
319.12,7978
321.84,8046
328.76,8219
335.68,8392
344.24,8606
349.48,8737
355.44,8886
360.80,9020
367.80,9195
376.36,9409
390.12,9753
396.84,9921
403.16,10079
428.64,10716
433.52,10838
445.04,11126
508.80,12720
534.40,13360
541.72,13543
551.12,13778
555.24,13881
557.88,13947
564.24,14106
567.32,14183
568.88,14222
570.40,14260
575.48,14387
577.44,14436
581.28,14532
582.68,14567
593.88,14847
595.44,14886
597.56,14939
602.56,15064
611.56,15289
671.76,16794
