"cut_time","1st_shot_frame"
7.04,176
44.32,1108
93.44,2336
104.28,2607
119.72,2993
124.52,3113
146.32,3658
149.60,3740
155.24,3881
163.72,4093
199.36,4984
200.48,5012
214.68,5367
226.36,5659
232.40,5810
238.24,5956
241.40,6035
246.72,6168
249.36,6234
250.80,6270
252.72,6318
253.36,6334
261.56,6539
265.08,6627
268.20,6705
272.92,6823
276.88,6922
285.88,7147
289.80,7245
293.24,7331
297.44,7436
321.16,8029
331.04,8276
337.52,8438
351.20,8780
353.60,8840
355.20,8880
359.28,8982
360.84,9021
363.64,9091
375.32,9383
379.56,9489
383.56,9589
385.04,9626
386.44,9661
390.28,9757
394.04,9851
395.56,9889
398.52,9963
414.40,10360
441.08,11027
465.60,11640
504.76,12619
509.40,12735
513.96,12849
527.20,13180
529.20,13230
534.64,13366
554.40,13860
556.88,13922
558.36,13959
559.96,13999
561.12,14028
563.20,14080
607.48,15187
615.80,15395
623.28,15582
634.64,15866
644.60,16115
646.64,16166
653.80,16345
669.08,16727
670.96,16774
679.00,16975
682.20,17055
689.20,17230
690.80,17270
693.84,17346
695.36,17384
696.96,17424
699.12,17478
703.24,17581
708.92,17723
711.76,17794
724.80,18120
736.52,18413
747.12,18678
753.08,18827
756.88,18922
759.60,18990
764.64,19116
830.92,20773
848.76,21219
859.48,21487
