"cut_time","1st_shot_frame"
0.08,2
5.16,129
13.80,345
15.80,395
16.96,424
18.88,472
20.00,500
21.96,549
23.04,576
24.48,612
25.28,632
26.72,668
28.80,720
30.40,760
33.96,849
38.88,972
42.16,1054
45.16,1129
46.56,1164
47.92,1198
49.56,1239
51.32,1283
57.32,1433
59.64,1491
62.16,1554
65.08,1627
67.84,1696
73.60,1840
75.44,1886
77.24,1931
78.88,1972
82.72,2068
86.56,2164
89.08,2227
94.00,2350
97.28,2432
98.88,2472
105.24,2631
114.60,2865
122.96,3074
129.48,3237
132.72,3318
140.76,3519
154.28,3857
175.20,4380
186.92,4673
188.96,4724
192.64,4816
197.32,4933
200.84,5021
208.68,5217
224.28,5607
237.88,5947
249.80,6245
258.40,6460
263.36,6584
264.20,6605
267.04,6676
268.36,6709
269.08,6727
271.36,6784
274.64,6866
276.00,6900
277.16,6929
279.04,6976
280.36,7009
281.64,7041
283.80,7095
285.64,7141
287.00,7175
288.44,7211
289.48,7237
291.80,7295
292.68,7317
294.40,7360
303.56,7589
306.12,7653
308.00,7700
315.80,7895
324.76,8119
332.24,8306
333.12,8328
333.96,8349
336.48,8412
340.68,8517
345.12,8628
346.84,8671
349.88,8747
355.04,8876
355.92,8898
358.84,8971
364.84,9121
367.72,9193
375.28,9382
379.88,9497
382.84,9571
384.76,9619
387.52,9688
391.08,9777
393.28,9832
398.28,9957
406.56,10164
411.84,10296
414.64,10366
416.88,10422
420.24,10506
424.80,10620
428.44,10711
433.84,10846
437.20,10930
438.16,10954
443.56,11089
498.80,12470
511.72,12793
554.08,13852
560.92,14023
566.60,14165
571.76,14294
596.60,14915
605.96,15149
629.44,15736
639.28,15982
642.60,16065
645.96,16149
647.32,16183
648.68,16217
654.16,16354
659.20,16480
663.60,16590
670.40,16760
690.24,17256
694.04,17351
702.40,17560
708.32,17708
713.20,17830
733.08,18327
737.28,18432
742.00,18550
748.12,18703
757.40,18935
759.52,18988
772.52,19313
775.16,19379
781.48,19537
795.84,19896
797.76,19944
799.80,19995
804.12,20103
806.48,20162
849.44,21236
853.52,21338
858.80,21470
