"cut_time","1st_shot_frame"
7.64,191
23.76,594
27.32,683
64.04,1601
74.68,1867
79.04,1976
81.28,2032
83.12,2078
86.60,2165
91.40,2285
108.32,2708
117.44,2936
124.40,3110
134.20,3355
148.76,3719
164.68,4117
178.60,4465
200.92,5023
208.76,5219
228.08,5702
233.52,5838
256.92,6423
262.00,6550
269.12,6728
281.68,7042
284.16,7104
287.72,7193
290.68,7267
292.44,7311
294.52,7363
295.88,7397
302.24,7556
320.32,8008
338.48,8462
350.08,8752
352.52,8813
357.44,8936
359.16,8979
360.68,9017
363.72,9093
369.72,9243
390.72,9768
393.04,9826
395.12,9878
403.80,10095
409.28,10232
417.16,10429
420.16,10504
422.28,10557
436.68,10917
442.40,11060
455.12,11378
463.20,11580
470.88,11772
493.28,12332
501.88,12547
508.88,12722
534.16,13354
551.44,13786
563.68,14092
567.52,14188
572.96,14324
578.48,14462
584.28,14607
586.32,14658
593.88,14847
604.32,15108
606.76,15169
609.80,15245
611.08,15277
612.52,15313
619.40,15485
638.36,15959
642.96,16074
661.04,16526
664.56,16614
681.68,17042
683.60,17090
686.48,17162
688.20,17205
690.80,17270
697.12,17428
698.48,17462
701.12,17528
702.40,17560
712.80,17820
717.68,17942
727.56,18189
757.48,18937
762.08,19052
772.76,19319
777.04,19426
782.88,19572
792.24,19806
798.52,19963
810.12,20253
811.80,20295
818.20,20455
826.92,20673
837.76,20944
846.72,21168
