"cut_time","1st_shot_frame"
6.20,155
14.88,372
21.32,533
67.24,1681
70.96,1774
73.00,1825
73.68,1842
74.76,1869
80.40,2010
81.60,2040
82.08,2052
82.72,2068
83.40,2085
83.96,2099
85.48,2137
86.68,2167
89.12,2228
90.40,2260
91.60,2290
108.12,2703
110.76,2769
120.64,3016
122.24,3056
125.80,3145
128.40,3210
179.88,4497
182.16,4554
184.52,4613
191.76,4794
200.48,5012
202.72,5068
204.16,5104
205.52,5138
213.24,5331
233.84,5846
245.68,6142
260.20,6505
272.60,6815
278.24,6956
284.80,7120
287.84,7196
291.36,7284
296.20,7405
299.72,7493
307.84,7696
309.24,7731
310.60,7765
311.88,7797
313.84,7846
315.20,7880
316.32,7908
321.72,8043
322.60,8065
324.08,8102
325.64,8141
328.04,8201
332.88,8322
339.60,8490
366.20,9155
369.24,9231
374.76,9369
377.96,9449
380.28,9507
385.68,9642
385.84,9646
387.76,9694
390.68,9767
394.08,9852
402.44,10061
414.12,10353
420.36,10509
422.56,10564
428.68,10717
432.20,10805
448.40,11210
458.96,11474
461.56,11539
466.48,11662
471.20,11780
482.40,12060
484.68,12117
491.08,12277
493.52,12338
496.88,12422
498.24,12456
499.32,12483
500.68,12517
502.92,12573
503.80,12595
506.24,12656
516.88,12922
539.80,13495
545.12,13628
551.84,13796
559.56,13989
562.76,14069
566.32,14158
571.92,14298
587.72,14693
591.08,14777
617.80,15445
623.04,15576
628.48,15712
635.76,15894
638.20,15955
639.88,15997
640.96,16024
737.88,18447
770.68,19267
802.00,20050
806.64,20166
818.92,20473
836.32,20908
859.20,21480
880.52,22013
