"cut_time","1st_shot_frame"
6.76,169
25.68,642
39.40,985
45.12,1128
47.88,1197
57.28,1432
59.52,1488
61.84,1546
66.96,1674
69.00,1725
72.00,1800
75.12,1878
80.48,2012
87.56,2189
103.48,2587
121.36,3034
131.64,3291
139.04,3476
146.32,3658
165.68,4142
206.20,5155
218.60,5465
222.96,5574
227.00,5675
231.60,5790
236.88,5922
239.16,5979
250.32,6258
252.28,6307
255.72,6393
259.36,6484
262.68,6567
266.68,6667
287.64,7191
309.12,7728
320.28,8007
337.28,8432
347.04,8676
364.20,9105
377.68,9442
386.32,9658
394.64,9866
414.04,10351
430.36,10759
436.92,10923
443.56,11089
448.16,11204
456.48,11412
462.08,11552
468.44,11711
472.64,11816
482.36,12059
493.88,12347
499.24,12481
504.88,12622
508.16,12704
511.20,12780
520.60,13015
527.52,13188
535.00,13375
541.92,13548
551.96,13799
558.00,13950
564.28,14107
566.52,14163
579.96,14499
596.60,14915
598.24,14956
602.72,15068
608.08,15202
620.12,15503
625.48,15637
631.00,15775
637.80,15945
669.84,16746
673.04,16826
694.40,17360
699.36,17484
703.28,17582
735.88,18397
745.64,18641
764.40,19110
792.32,19808
798.76,19969
811.32,20283
847.64,21191
857.76,21444
859.96,21499
863.08,21577
864.80,21620
886.12,22153
889.88,22247
895.68,22392
903.16,22579
942.20,23555
945.60,23640
956.60,23915
959.72,23993
961.56,24039
969.00,24225
996.64,24916
1000.84,25021
1012.84,25321
1016.96,25424
1048.72,26218
1063.48,26587
